s_sector,r_sector,lag,corr,pvalue,significant,n_obs
Technology,Healthcare,2,-0.13110825467198184,0.03909572200019006,True,248
Technology,Healthcare,3,0.04613324128911922,0.4704498090990156,False,247
Technology,Healthcare,4,-0.022050037488412905,0.7307547458317016,False,246
Technology,Healthcare,5,-0.11135441708424237,0.08195169942676477,False,245
Technology,Utilities,0,0.17440576340994177,0.005692276116353305,True,250
Technology,Utilities,1,-0.015442309895934418,0.8084207312094012,False,249
Technology,Utilities,2,-0.15181520513491548,0.016729722597451313,True,248
Technology,Utilities,3,-0.19823751338416049,0.0017428727401357909,True,247
Technology,Utilities,4,-0.1554052562942766,0.014692826889161117,True,246
Technology,Utilities,5,0.019086456612889685,0.7662759903951846,False,245
ConsumerStaples,Banking,0,-0.051123897976500805,0.4209263148686562,False,250
ConsumerStaples,Banking,1,-0.05788073848495191,0.36308112897657374,False,249
ConsumerStaples,Banking,2,-0.11233493948293036,0.07744484846730776,False,248
ConsumerStaples,Banking,3,-0.03333101078881365,0.6021399404694252,False,247
ConsumerStaples,Banking,4,-0.02733224053108275,0.6696810831518403,False,246
ConsumerStaples,Banking,5,0.004190038819673513,0.9479754576157662,False,245
ConsumerStaples,RealEstate,0,0.050737960849946744,0.4244459665734218,False,250
ConsumerStaples,RealEstate,1,0.04295611327264971,0.499842945161132,False,249
ConsumerStaples,RealEstate,2,0.06277494925003488,0.32484126357621423,False,248
ConsumerStaples,RealEstate,3,-0.04068151775330622,0.5245284067921038,False,247
ConsumerStaples,RealEstate,4,0.055960516879701744,0.38216122238522066,False,246
ConsumerStaples,RealEstate,5,-0.05020777625270531,0.4340085823298413,False,245
ConsumerStaples,SteelMaterials,0,-0.01011318130113375,0.8735852488540252,False,250
ConsumerStaples,SteelMaterials,1,-0.07407640382391442,0.2441707797898423,False,249
ConsumerStaples,SteelMaterials,2,-0.0937696603797867,0.14089346392748753,False,248
ConsumerStaples,SteelMaterials,3,-0.04633944739610471,0.46846620117870824,False,247
ConsumerStaples,SteelMaterials,4,-0.07584137837193089,0.23594837177326977,False,246
